FRI$06:00 PM$PARTY$Hardware Happy hour$Schleusenkrug$OSHWAT.png$Schleusenkrug, Mueller-Breslau-Strasse/Unterschleuse, 10623 Berlin
Organized by Helen Leigh
SAT$09:00 AM$TALK$Welcome$lee & sid$OSHWAT.png$Opening Ceremony
SAT$09:20 AM$TALK$Making open hardware manufacturing beautiful!$Cangiano, Mies, Colomb$OSHWAT.png$how and when to consider production in OH projects, and how to embed openness and community stewardship used in co-design into co-production models.
SAT$09:40 AM$TALK$Maker Emergency Kits$Wenzelmann, Wille, Long$OSHWAT.png$This talk introduces Maker Emergency Kits as an open source hardware approach linking resilient communication, distributed manufacturing, and disaster response.
SAT$10:00 AM$TALK$Opera as a Site for Open Hardware Research and an Unteathered Wearable Projector$Setsuko Love, Johnston$OSHWAT.png$These wearables not only enhanced the storytelling, but fulfilled key technical needs in the sensitive museum space: sound, light & projection.
SAT$10:20 AM$TALK$Creating Single-Molecule Circuits with OSH$Sam Harley$OSHWAT.png$Molecular electronics aims to realize high-performance electronic devices built from individual organic molecules. This talk will provide an introduction to the field.
SAT$10:40 AM$TALK$Break$everyone$OSHWAT.png$breath
SAT$11:00 AM$TALK$Building Open-Source Batteries for Stationary Energy Storage$Kirk Smith$OSHWAT.png$Proprietary, hard-to-recycle batteries hinder the energy transition. The Flow Battery Research Collective (fbrc.dev) develops open-source batteries for stationary storage, using materials like zinc, iodine, iron, and manganese.
SAT$11:20 AM$TALK$The Domestic Machine: A History of Knitting Machines & The Community's Open-Source Hardware Ethos$Yi Messier, Victoria Manganiello$OSHWAT.png$Long before open source had a name, knitting machine communities were living its values by sharing hardware mods, reverse-engineering mechanisms, and keeping discontinued machines alive through collective information exchange.
SAT$11:40 AM$TALK$Bringing OSH to the masses, one household at a time: The OSH Vacuum project$Weiß, Kienle, Adelsberger$OSHWAT.png$The OSH Vacuum project brings the OSH perspective to a ubiquitous household product and end consumers.
SAT$12:00 PM$TALK$Circuit Necromancy : An Introduction to Electrical Salvage$Alison Clark$OSHWAT.png$Circuit Necromancy examines one artist’s practice of electrical salvage, reframing e-waste as a site for play, learning, and transformation.
SAT$12:20 PM$TALK$50,000 Devices Later: The Open Source Hardware Advantage$Achim Haug$OSHWAT.png$How AirGradient scaled its open hardware and software to deliver air-quality monitoring globally.
SAT$12:40 PM$TALK$Building Supply Chain Mesh Networks: Open Infrastructure for Resilient Manufacturing$Nathan Parker$OSHWAT.png$This talk explores the open-source infrastructure we are building to solve this, in anticipation of the next crisis that affects our brittle supply chains
SAT$01:00 PM$TALK$LUNCH$everyone$OSHWAT.png$EAT!
SAT$02:20 PM$TALK$Open-Source Textile Mills$Bristow, Evans, Schumaker$OSHWAT.png$Fantasy Fibre Mill will present videos and yarn samples from our farm scale machines for processing flax, wool, hemp, cotton and cattails from raw material into yarn.
SAT$02:40 PM$TALK$From Taboo to Toolkit: Enabling Open, Safe Menstrual Care $Krenn, Peuker, Sadeghvishkaei, Phuong Phung, Hoang, Hellmuth$OSHWAT.png$We will present our project developing an open, trustworthy and safe-to-use menstrual cup mould that virtually anyone can use to manufacture affordable menstrual cups, giving more women access to menstrual hygiene products.
SAT$03:00 PM$TALK$CE for OSHW - the basics you need to know to sell open source electronics in europe+ $Clemens Mayer$OSHWAT.png$Learn the essentials of CE marking for open-source hardware.
SAT$03:20 PM$TALK$Break$everyone$OSHWAT.png$breath
SAT$03:40 PM$TALK$Where Goes Open Hardware?$Mitch Altman$OSHWAT.png$Open Hardware is beneficial for DIY projects, non-profits, small businesses, and even huge companies.
SAT$04:00 PM$TALK$Mining Old Treasures with New Electronics for DIY DNA sequencing $Lisa$OSHWAT.png$DNA sequencing is still too expensive for a playful approach, and the most DIY-friendly version relies on closed source hardware and wetware with serious vendor lock-in.
SAT$04:20 PM$TALK$OSH, Sustainable Circularity & the Collective Search for the Super Universal Part!$Lars Zimmermann$OSHWAT.png$A decade ago in Berlin, the search for the cross-pollination of OSH and the Circular Economy began.
SAT$04:40 PM$TALK$The ZEReader Project - Adopting Agile and Software-First Methods in Open Hardware $Anna-Lena Marx$OSHWAT.png$Managing complex hardware as a hobbyist is difficult. The ZEReader project uses a software-first workflow, leveraging Zephyr and modular design, to simplify bring-up and debugging. 
SAT$05:00 PM$TALK$Closing$lee, sid, Herine$OSHWAT.png$Closing Ceremony
SAT$08:00 PM$PARTY$Open Source Open Mic$c-base$OSHWAT.png$Rungestraße 20, Mitte, 10179 Berlin, Germany
SUN$11:00 AM$TALK$Lightning Talks$everyone$OSHWAT.png$description
SUN$01:00 PM$TALK$LUNCH$everyone$OSHWAT.png$description
SUN$07:00 PM$PARTY$Moth Rave$Institute of Mathematics$OSHWAT.png$Straße des 17. Juni 136, 10623 Berlin, Organized by DinaLabs
